,ds,trend,trend_lower,trend_upper,yhat,yhat_lower,yhat_upper
776,2017-08-10,6411.393623201705,6411.393623201705,6411.393623201705,6373.54603382828,6143.4306617049915,6575.855026548535
777,2017-08-11,6418.949664332156,6418.949664332156,6418.949664332156,6376.574885986522,6160.932604017718,6605.33903222666
778,2017-08-14,6441.617787723512,6441.617787723511,6441.617787723511,6376.676761455239,6155.944860389329,6591.032130345505
779,2017-08-15,6449.173828853964,6449.173828853964,6449.173828853964,6391.666730275758,6160.2195436899365,6627.587957534865
780,2017-08-16,6456.729869984416,6456.729869984416,6456.729869984416,6396.508069870222,6196.2076589952485,6626.447905000141
781,2017-08-17,6464.285911114868,6464.285911114868,6464.285911114868,6396.330785691014,6156.78844261131,6615.916976223038
782,2017-08-18,6471.841952245318,6471.841952245318,6471.841952245318,6402.553655416689,6189.372278244419,6624.709363950409
783,2017-08-21,6494.510075636674,6494.510075636674,6494.510075636674,6411.160369333364,6197.049446779677,6619.4763520641845
784,2017-08-22,6502.066116767125,6502.066116767125,6502.066116767125,6428.452447127445,6224.881848992095,6656.9792333222185
785,2017-08-23,6509.622157897577,6509.622157897577,6509.622157897577,6435.27222415527,6220.62933952276,6656.618057988701
786,2017-08-24,6517.178199028029,6517.178199028029,6517.178199028029,6436.733478009947,6210.981471253788,6648.15356226023
787,2017-08-25,6524.734240158481,6524.734240158481,6524.734240158481,6444.250350899506,6221.121580105913,6662.915488248367
788,2017-08-28,6547.402363549836,6547.402363549836,6547.402363549836,6454.779947339673,6243.305834363611,6676.203878714615
789,2017-08-29,6554.958404680288,6554.958404680288,6554.958404680288,6472.13834164949,6251.081693738623,6688.381994421294
790,2017-08-30,6562.514445810738,6562.514445810738,6562.514445810738,6478.791947944934,6258.671069740151,6698.811740582593
791,2017-08-31,6570.07048694119,6570.07048694119,6570.07048694119,6479.893114861451,6261.13829045773,6681.994829922899
792,2017-09-01,6577.626528071643,6577.626528071643,6577.626528071643,6486.895759684558,6261.852460074505,6702.7837157556005
793,2017-09-05,6607.850692593449,6607.850692593449,6607.850692593449,6511.925621391799,6276.405857340096,6733.188124913334
794,2017-09-06,6615.406733723901,6615.406733723901,6615.406733723901,6517.814498056428,6300.744079775967,6743.0093072463005
795,2017-09-07,6622.962774854353,6622.962774854353,6622.962774854353,6518.170359571549,6287.2911965904295,6744.398373639835
796,2017-09-08,6630.518815984805,6630.518815984805,6630.518815984805,6524.454488690479,6311.376617219703,6736.828760418223
797,2017-09-11,6653.18693937616,6653.18693937616,6653.18693937616,6530.862580164507,6292.031988107854,6762.67745228263
798,2017-09-12,6660.742980506612,6660.742980506612,6660.742980506612,6546.767930207162,6321.232433598301,6773.262702147422
799,2017-09-13,6668.299021637064,6668.299021637064,6668.299021637064,6551.9322000009115,6332.347171508258,6775.432956988879
800,2017-09-14,6675.855062767516,6675.855062767516,6675.855062767516,6551.493533992467,6344.718350900702,6763.958417226981
801,2017-09-15,6683.411103897965,6683.411103897965,6683.411103897965,6556.882043114583,6332.775306145463,6775.449022875951
802,2017-09-18,6706.079227289321,6706.079227289321,6706.079227289321,6559.685948711212,6355.743699945958,6774.828462249388
803,2017-09-19,6713.635268419775,6713.635268419775,6713.635268419775,6573.992402539247,6347.885931730799,6777.689301197909
804,2017-09-20,6721.191309550225,6721.191309550225,6721.191309550225,6577.3246499657,6365.0721727258315,6796.10079026643
805,2017-09-21,6728.747350680676,6728.747350680676,6728.747350680676,6574.810093297177,6343.795864759893,6791.774330906697
806,2017-09-22,6736.303391811129,6736.303391811129,6736.303391811129,6577.876327307833,6368.669473525426,6794.223414030148
807,2017-09-25,6758.971515202484,6758.971515202484,6758.971515202484,6572.348748809119,6357.216714778242,6782.155268062673
808,2017-09-26,6766.527556332934,6766.527556332934,6766.527556332934,6583.509540717826,6367.769225088046,6805.450523571674
809,2017-09-27,6774.083597463387,6774.083597463388,6774.083597463388,6583.5788799110405,6368.095164609086,6807.275132169412
810,2017-09-28,6781.63963859384,6781.63963859384,6781.63963859384,6577.737445760788,6353.518070696178,6793.447643442979
811,2017-09-29,6789.195679724291,6789.195679724291,6789.195679724291,6577.473410901089,6347.889741770383,6783.44447721933
812,2017-10-02,6811.863813559823,6811.863813559823,6811.863813559823,6562.618780555819,6358.089899394295,6801.331710622042
813,2017-10-03,6819.419858171667,6819.419858171667,6819.419858171667,6571.133474513526,6353.103687838895,6780.443143040533
814,2017-10-04,6826.975902783513,6826.975902783513,6826.975902783513,6568.908879223107,6346.718911399586,6787.606936401923
815,2017-10-05,6834.531947395357,6834.531947395357,6834.531947395357,6561.1936271754,6342.7324949236545,6779.05842838206
816,2017-10-06,6842.087992007203,6842.087992007203,6842.087992007203,6559.537944343693,6343.805603173788,6770.134232196628
817,2017-10-09,6864.756125842737,6864.756125842737,6864.756125842737,6571.783915770008,6339.730891646012,6788.808422044665
818,2017-10-10,6872.31217045458,6872.31217045458,6872.31217045458,6553.382494271778,6327.720011879223,6753.673218679539
819,2017-10-11,6879.868215066424,6879.868215066424,6879.868215066424,6552.774457533396,6342.960322444574,6789.011352348205
820,2017-10-12,6887.424259678269,6887.424259678269,6887.424259678269,6547.310843859424,6317.164460532884,6769.11435261742
821,2017-10-13,6894.980304290114,6894.980304290114,6894.980304290114,6548.520554438488,6347.739159542763,6759.150024713755
